#Classification,HK1-1,HK1-2,HK1-3,HK1-4,HK1-5,HK2-1,HK2-2,HK2-3,HK2-4,HK2-5,HK3-1,HK3-2,HK3-3,HK3-4,HK3-5
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_caprae,2.0477E-06,3.87762E-06,0,1.70955E-06,3.50194E-06,2.11456E-06,4.0695E-06,1.70949E-05,2.26538E-06,3.3195E-06,7.63935E-06,5.5388E-06,2.7963E-06,2.90866E-06,3.20737E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_muscae,1.70642E-06,2.58508E-06,0,1.99448E-06,0,1.05728E-06,1.6278E-06,1.42457E-06,0,0,0,0,0,0,1.87096E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_pseudoxylosus,2.38898E-06,2.90821E-06,2.31557E-06,1.1397E-06,1.75097E-06,2.74893E-06,2.4417E-06,2.84914E-06,1.61813E-06,4.05717E-06,0,0,3.35556E-06,1.05769E-06,1.3364E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_roterodami,2.73027E-06,1.93881E-06,1.73667E-06,0,2.75152E-06,8.45825E-07,2.03475E-06,0,0,4.05717E-06,4.20164E-06,3.87716E-06,2.7963E-06,2.64424E-06,2.6728E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_carnosus,2.38898E-06,1.61567E-06,1.73667E-06,4.27388E-06,3.2518E-06,1.26874E-06,2.84865E-06,3.324E-06,1.2945E-06,0,3.43771E-06,0,0,4.4952E-06,2.13824E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_schleiferi,2.73027E-06,2.26194E-06,3.7628E-06,2.84925E-06,3.50194E-06,4.01767E-06,0,2.84914E-06,0,0,3.05574E-06,2.21552E-06,3.35556E-06,2.37981E-06,3.20737E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_rostri,3.41283E-06,2.90821E-06,2.60501E-06,1.42463E-06,5.2529E-06,1.69165E-06,2.84865E-06,1.89943E-06,0,4.79484E-06,4.58361E-06,6.09268E-06,3.35556E-06,1.85097E-06,0
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_felis,2.38898E-06,3.87762E-06,3.7628E-06,4.55881E-06,4.75263E-06,2.96039E-06,2.4417E-06,3.324E-06,1.61813E-06,4.426E-06,3.81967E-06,3.32328E-06,2.7963E-06,2.90866E-06,3.47465E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_pettenkoferi,2.73027E-06,6.13956E-06,3.47335E-06,1.99448E-06,4.00221E-06,2.11456E-06,3.2556E-06,2.84914E-06,3.55988E-06,4.05717E-06,4.58361E-06,7.20044E-06,3.35556E-06,4.23078E-06,2.13824E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_warneri,4.0954E-06,3.55448E-06,5.21002E-06,3.98896E-06,6.00332E-06,3.3833E-06,7.3251E-06,6.88543E-06,2.91263E-06,2.95067E-06,4.58361E-06,7.20044E-06,9.50743E-06,3.17308E-06,4.81105E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_succinus,3.07155E-06,8.40151E-06,0,4.84373E-06,5.50304E-06,4.22912E-06,6.10425E-06,2.84914E-06,2.589E-06,5.16367E-06,9.16722E-06,6.64656E-06,2.7963E-06,5.28847E-06,5.61289E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_edaphicus,2.73027E-06,6.13956E-06,2.60501E-06,3.13418E-06,6.50359E-06,2.96039E-06,1.6278E-06,2.37429E-06,0,3.68834E-06,5.72951E-06,5.5388E-06,2.23704E-06,1.32212E-06,5.07833E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_piscifermentans,3.41283E-06,2.90821E-06,1.73667E-06,2.84925E-06,3.2518E-06,2.74893E-06,0,2.13686E-06,1.2945E-06,1.47533E-06,2.2918E-06,4.43104E-06,0,2.64424E-06,0
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_condimenti,3.41283E-06,3.23135E-06,0,1.42463E-06,2.00111E-06,2.53747E-06,0,3.324E-06,0,0,2.67377E-06,0,2.23704E-06,0,2.40552E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_nepalensis,3.75412E-06,4.52389E-06,3.7628E-06,1.99448E-06,2.25124E-06,2.96039E-06,4.47645E-06,1.42457E-06,5.178E-06,2.213E-06,4.20164E-06,6.64656E-06,0,1.85097E-06,5.61289E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_kloosii,3.75412E-06,1.93881E-06,1.44723E-06,2.2794E-06,2.50138E-06,1.26874E-06,2.4417E-06,3.08657E-06,3.23625E-06,3.3195E-06,3.81967E-06,0,2.23704E-06,1.58654E-06,1.06912E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_lutrae,4.0954E-06,2.90821E-06,2.31557E-06,1.42463E-06,3.00166E-06,1.69165E-06,4.0695E-06,2.13686E-06,0,2.213E-06,3.05574E-06,3.87716E-06,2.23704E-06,2.90866E-06,2.6728E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_shinii,4.43668E-06,3.87762E-06,3.1839E-06,3.70403E-06,2.75152E-06,2.53747E-06,5.29035E-06,2.37429E-06,1.94175E-06,2.213E-06,4.58361E-06,2.7694E-06,4.47409E-06,3.17308E-06,4.00921E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_coagulans,4.43668E-06,5.49329E-06,2.31557E-06,0,5.50304E-06,2.96039E-06,4.0695E-06,1.18714E-06,0,2.58183E-06,2.67377E-06,3.32328E-06,4.47409E-06,2.64424E-06,2.40552E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_auricularis,4.43668E-06,2.58508E-06,3.47335E-06,2.56433E-06,3.50194E-06,3.3833E-06,2.84865E-06,3.08657E-06,2.26538E-06,3.3195E-06,4.96558E-06,2.7694E-06,0,3.43751E-06,2.13824E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_argenteus,5.80181E-06,5.81643E-06,6.36781E-06,2.2794E-06,4.50249E-06,3.59475E-06,2.4417E-06,4.51115E-06,2.26538E-06,2.58183E-06,6.11148E-06,6.09268E-06,6.71113E-06,4.23078E-06,3.20737E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_saccharolyticus,5.11925E-06,7.75524E-06,3.1839E-06,3.41911E-06,3.75207E-06,5.92077E-06,2.84865E-06,6.648E-06,1.2945E-06,3.68834E-06,6.87541E-06,6.64656E-06,5.03335E-06,3.43751E-06,6.14745E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_hyicus,6.1431E-06,8.40151E-06,6.65725E-06,3.98896E-06,6.00332E-06,5.70932E-06,6.91815E-06,6.88543E-06,2.91263E-06,4.05717E-06,5.72951E-06,6.64656E-06,3.91482E-06,5.02405E-06,6.41473E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_lloydii,5.46053E-06,2.26194E-06,4.05224E-06,2.56433E-06,2.50138E-06,1.26874E-06,4.47645E-06,2.37429E-06,0,3.3195E-06,6.49344E-06,3.87716E-06,3.35556E-06,3.17308E-06,0
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_hominis,6.1431E-06,1.26023E-05,8.39393E-06,1.99448E-05,1.17565E-05,6.7666E-06,1.18015E-05,1.1634E-05,9.38513E-06,1.06962E-05,8.78525E-06,1.8278E-05,1.2863E-05,7.93271E-06,8.01841E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_lugdunensis,5.80181E-06,6.78583E-06,5.49947E-06,5.12866E-06,4.00221E-06,4.65204E-06,5.6973E-06,5.69829E-06,3.55988E-06,5.16367E-06,8.40328E-06,3.87716E-06,6.15187E-06,3.43751E-06,5.61289E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_pasteuri,6.82566E-06,5.17016E-06,4.63113E-06,4.55881E-06,6.25346E-06,3.80621E-06,1.01737E-05,6.88543E-06,2.589E-06,6.27017E-06,1.37508E-05,6.09268E-06,7.27039E-06,4.75963E-06,6.14745E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_capitis,7.84951E-06,1.9065E-05,1.44723E-05,1.59558E-05,1.15064E-05,8.88116E-06,6.91815E-06,1.68574E-05,1.10033E-05,0.000162287,1.56607E-05,2.10474E-05,1.95741E-05,9.51925E-06,1.09585E-05
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_xylosus,6.82566E-06,1.00172E-05,4.92058E-06,3.98896E-06,9.00498E-06,5.2864E-06,7.73204E-06,4.986E-06,2.589E-06,6.27017E-06,1.1459E-05,9.96984E-06,1.51E-05,5.81732E-06,5.07833E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_equorum,1.26275E-05,8.72464E-06,5.21002E-06,3.70403E-06,1.17565E-05,7.61242E-06,1.26154E-05,6.41058E-06,5.178E-06,4.426E-06,1.87164E-05,1.49548E-05,8.38891E-06,1.11058E-05,9.35482E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_devriesei,6.82566E-06,5.17016E-06,2.60501E-06,3.41911E-06,5.75318E-06,2.96039E-06,1.6278E-06,3.08657E-06,1.94175E-06,3.68834E-06,4.20164E-06,5.5388E-06,3.35556E-06,3.43751E-06,3.20737E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_arlettae,8.1908E-06,1.00172E-05,3.7628E-06,3.41911E-06,5.2529E-06,4.65204E-06,3.2556E-06,4.27372E-06,4.85438E-06,4.05717E-06,8.40328E-06,0,8.38891E-06,4.23078E-06,4.27649E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_gallinarum,7.50823E-06,8.07837E-06,7.23615E-06,3.70403E-06,5.2529E-06,3.59475E-06,6.91815E-06,3.56143E-06,2.26538E-06,2.95067E-06,3.81967E-06,6.09268E-06,3.35556E-06,3.17308E-06,4.27649E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_simiae,8.1908E-06,1.29254E-05,4.92058E-06,4.55881E-06,9.00498E-06,8.03533E-06,6.10425E-06,5.22343E-06,2.91263E-06,6.27017E-06,9.93115E-06,7.20044E-06,8.38891E-06,8.9904E-06,9.6221E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_simulans,1.05798E-05,9.37091E-06,4.63113E-06,4.27388E-06,9.25512E-06,6.7666E-06,6.91815E-06,7.12286E-06,5.50163E-06,7.7455E-06,9.93115E-06,6.09268E-06,8.94817E-06,8.46156E-06,6.94929E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_chromogenes,1.09211E-05,1.06635E-05,7.52559E-06,5.41358E-06,9.25512E-06,7.40097E-06,1.01737E-05,6.648E-06,2.91263E-06,9.22084E-06,7.25738E-06,9.41596E-06,7.82965E-06,8.46156E-06,8.55298E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_saprophyticus,1.12623E-05,1.32485E-05,1.01306E-05,7.97791E-06,1.05058E-05,7.61242E-06,1.13946E-05,9.73458E-06,4.53075E-06,8.48317E-06,1.37508E-05,1.71703E-05,1.0626E-05,1.18991E-05,1.01567E-05
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_haemolyticus,1.26275E-05,2.10038E-05,6.07836E-06,1.28216E-05,1.37576E-05,9.93844E-06,1.13946E-05,1.40083E-05,5.50163E-06,8.85201E-06,2.10082E-05,1.21854E-05,2.62853E-05,1.26923E-05,8.82026E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_delphini,4.43668E-06,3.55448E-06,4.63113E-06,1.70955E-06,2.25124E-06,2.74893E-06,3.2556E-06,1.89943E-06,1.2945E-06,3.68834E-06,4.96558E-06,2.21552E-06,3.91482E-06,3.70193E-06,2.13824E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_pseudintermedius,9.89721E-06,1.00172E-05,8.97282E-06,1.08272E-05,1.20066E-05,9.09261E-06,8.54594E-06,1.59077E-05,9.38513E-06,1.06962E-05,9.54918E-06,4.98492E-06,1.23037E-05,1.48077E-05,6.68201E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_epidermidis,2.93504E-05,2.58508E-05,2.37346E-05,2.36488E-05,2.9016E-05,1.56478E-05,2.19753E-05,2.23183E-05,1.06796E-05,4.68419E-05,3.28492E-05,2.60323E-05,3.8589E-05,2.0625E-05,2.24516E-05
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_sp._IVB6181,2.38898E-06,2.58508E-06,0,4.27388E-06,3.2518E-06,2.96039E-06,0,4.74857E-06,4.53075E-06,2.58183E-06,6.49344E-06,6.64656E-06,0,3.96635E-06,4.54377E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_sp._17KM0847,4.0954E-06,5.81643E-06,0,3.13418E-06,2.25124E-06,2.53747E-06,6.10425E-06,0,0,5.90134E-06,0,0,5.03335E-06,0,2.6728E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_sp._11-B-312,9.55593E-06,4.84702E-06,5.49947E-06,1.02573E-05,6.00332E-06,5.07495E-06,0,6.41058E-06,0,0,8.78525E-06,8.3082E-06,8.94817E-06,0,6.68201E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_sp._MI_10-1553,7.16695E-06,1.29254E-05,6.65725E-06,3.13418E-06,8.00442E-06,4.22912E-06,5.29035E-06,2.61172E-06,4.53075E-06,5.5325E-06,7.63935E-06,0,6.15187E-06,1.03125E-05,7.21657E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_agnetis,3.17393E-05,2.8759E-05,2.17084E-05,2.6783E-05,2.97665E-05,1.81852E-05,2.76726E-05,2.04189E-05,1.48868E-05,2.06547E-05,3.09394E-05,2.43707E-05,2.85223E-05,2.61779E-05,1.89769E-05
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_aureus,0.000118084,0.000157044,0.000123883,0.000237913,0.00010781,0.000190733,0.000107842,0.000195404,5.30745E-05,0.000110281,0.000207026,0.000156748,0.00015156,0.000118726,0.000127226
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Caldalkalibacillus|s__Caldalkalibacillus_thermarum,1.70642E-06,3.55448E-06,2.02612E-06,1.99448E-06,2.25124E-06,2.74893E-06,4.0695E-06,3.324E-06,2.91263E-06,2.58183E-06,2.67377E-06,3.87716E-06,0,4.75963E-06,1.3364E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Mangrovibacillus|s__Mangrovibacillus_cuniculi,2.73027E-06,3.55448E-06,2.02612E-06,4.27388E-06,2.00111E-06,2.11456E-06,1.6278E-06,2.37429E-06,1.2945E-06,2.95067E-06,4.96558E-06,4.43104E-06,0,1.58654E-06,2.13824E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Allobacillus|s__Allobacillus_halotolerans,2.73027E-06,2.26194E-06,2.60501E-06,2.56433E-06,4.00221E-06,2.96039E-06,3.2556E-06,1.18714E-06,2.91263E-06,3.3195E-06,2.67377E-06,4.43104E-06,4.47409E-06,4.23078E-06,1.60368E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Halalkalibacterium_(ex_Joshi_et_al._2022)|s__Halalkalibacterium_halodurans,3.07155E-06,4.52389E-06,2.60501E-06,4.55881E-06,2.00111E-06,2.32602E-06,3.66255E-06,4.51115E-06,2.91263E-06,6.27017E-06,4.58361E-06,2.7694E-06,5.03335E-06,3.96635E-06,2.40552E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Salimicrobium|s__Salimicrobium_jeotgali,3.41283E-06,3.23135E-06,2.60501E-06,1.42463E-06,2.25124E-06,1.69165E-06,3.2556E-06,2.13686E-06,2.589E-06,1.84417E-06,1.52787E-06,2.7694E-06,6.71113E-06,2.11539E-06,1.3364E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Amphibacillus|s__Amphibacillus_xylanus,3.41283E-06,4.20075E-06,1.15778E-06,3.13418E-06,4.50249E-06,1.90311E-06,4.0695E-06,1.42457E-06,1.94175E-06,7.00784E-06,3.81967E-06,6.09268E-06,6.15187E-06,4.23078E-06,3.47465E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Sediminibacillus|s__Sediminibacillus_dalangtanensis,3.75412E-06,4.52389E-06,4.63113E-06,4.55881E-06,8.75484E-06,3.59475E-06,5.6973E-06,4.986E-06,1.61813E-06,1.84417E-06,7.63935E-06,6.64656E-06,5.03335E-06,2.64424E-06,5.61289E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lederbergia|s__Lederbergia_lenta,4.77796E-06,6.78583E-06,4.63113E-06,2.84925E-06,6.25346E-06,5.2864E-06,7.73204E-06,4.74857E-06,4.85438E-06,5.90134E-06,5.72951E-06,7.75432E-06,8.38891E-06,3.17308E-06,4.54377E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Ectobacillus|s__Ectobacillus_sp._JY-23,4.77796E-06,4.20075E-06,3.1839E-06,0,4.75263E-06,2.74893E-06,4.0695E-06,5.69829E-06,1.61813E-06,4.426E-06,6.87541E-06,3.87716E-06,3.91482E-06,3.70193E-06,3.20737E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Siminovitchia|s__Siminovitchia_fortis,4.77796E-06,2.58508E-06,3.1839E-06,0,4.00221E-06,4.22912E-06,4.47645E-06,3.56143E-06,1.94175E-06,2.58183E-06,4.58361E-06,2.7694E-06,6.15187E-06,2.90866E-06,2.13824E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Paraliobacillus|s__Paraliobacillus_zengyii,5.11925E-06,5.49329E-06,3.1839E-06,3.70403E-06,2.75152E-06,5.07495E-06,4.0695E-06,4.51115E-06,1.2945E-06,3.3195E-06,3.43771E-06,3.32328E-06,3.35556E-06,1.05769E-06,2.94009E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Gottfriedia|s__Gottfriedia_acidiceleris,5.46053E-06,6.4627E-06,9.26227E-06,6.55329E-06,4.75263E-06,5.07495E-06,4.0695E-06,4.51115E-06,4.53075E-06,9.58967E-06,6.11148E-06,4.98492E-06,5.03335E-06,5.02405E-06,4.27649E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Caldibacillus|s__Caldibacillus_thermoamylovorans,5.46053E-06,6.13956E-06,5.21002E-06,5.98343E-06,5.00277E-06,3.80621E-06,5.29035E-06,4.74857E-06,3.55988E-06,5.90134E-06,7.25738E-06,1.32931E-05,5.59261E-06,4.4952E-06,4.54377E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Salipaludibacillus|s__Salipaludibacillus_sp._LMS25,5.46053E-06,6.13956E-06,4.34169E-06,1.99448E-06,2.50138E-06,2.32602E-06,3.2556E-06,3.324E-06,4.20713E-06,2.58183E-06,4.58361E-06,0,3.35556E-06,1.58654E-06,1.87096E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Paenalkalicoccus|s__Paenalkalicoccus_suaedae,6.1431E-06,3.55448E-06,3.1839E-06,6.55329E-06,3.75207E-06,4.22912E-06,4.0695E-06,2.84914E-06,3.55988E-06,3.3195E-06,6.87541E-06,3.32328E-06,5.59261E-06,3.96635E-06,4.00921E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Aeribacillus|s__Aeribacillus_pallidus,0,0,2.60501E-06,0,2.50138E-06,1.69165E-06,0,2.13686E-06,3.55988E-06,0,0,4.43104E-06,4.47409E-06,0,2.13824E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Aeribacillus|s__Aeribacillus_composti,7.50823E-06,6.4627E-06,4.05224E-06,5.12866E-06,3.75207E-06,4.22912E-06,6.10425E-06,4.51115E-06,2.91263E-06,6.27017E-06,8.78525E-06,3.87716E-06,6.71113E-06,5.02405E-06,5.61289E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Terribacillus|s__Terribacillus_goriensis,3.07155E-06,3.23135E-06,2.89446E-06,3.98896E-06,3.00166E-06,2.96039E-06,4.0695E-06,4.27372E-06,2.91263E-06,2.95067E-06,4.20164E-06,3.32328E-06,0,3.70193E-06,1.3364E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Terribacillus|s__Terribacillus_sp._DMT04,4.43668E-06,4.84702E-06,2.89446E-06,3.70403E-06,4.25235E-06,1.48019E-06,2.03475E-06,3.324E-06,2.91263E-06,2.213E-06,3.43771E-06,0,0,4.4952E-06,4.00921E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Anaerobacillus|s__Anaerobacillus_isosaccharinicus,7.84951E-06,6.78583E-06,6.36781E-06,5.41358E-06,6.00332E-06,5.49786E-06,4.47645E-06,5.22343E-06,5.82525E-06,6.639E-06,7.25738E-06,7.20044E-06,1.11852E-05,6.61059E-06,6.41473E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Pseudalkalibacillus|s__Pseudalkalibacillus_hwajinpoensis,7.84951E-06,6.13956E-06,6.9467E-06,5.69851E-06,5.2529E-06,5.70932E-06,4.47645E-06,5.93572E-06,5.50163E-06,9.22084E-06,7.63935E-06,6.09268E-06,3.91482E-06,5.02405E-06,5.61289E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Pradoshia|s__Pradoshia_sp._D12,8.1908E-06,5.49329E-06,4.92058E-06,3.98896E-06,3.50194E-06,5.49786E-06,3.66255E-06,6.17315E-06,4.20713E-06,5.16367E-06,5.34754E-06,8.3082E-06,8.94817E-06,4.75963E-06,3.20737E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Radiobacillus|s__Radiobacillus_deserti,3.41283E-06,2.90821E-06,1.73667E-06,2.84925E-06,2.25124E-06,1.48019E-06,4.8834E-06,2.61172E-06,0,0,1.90984E-06,2.21552E-06,4.47409E-06,1.05769E-06,1.60368E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Radiobacillus|s__Radiobacillus_kanasensis,4.77796E-06,3.87762E-06,4.92058E-06,5.12866E-06,5.50304E-06,2.74893E-06,3.66255E-06,2.84914E-06,1.2945E-06,4.05717E-06,4.96558E-06,4.98492E-06,7.27039E-06,2.11539E-06,4.27649E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Halalkalibacter|s__Halalkalibacter_krulwichiae,8.53208E-06,4.52389E-06,7.52559E-06,2.56433E-06,5.75318E-06,4.65204E-06,4.47645E-06,4.27372E-06,6.4725E-06,4.79484E-06,7.63935E-06,7.20044E-06,7.27039E-06,5.5529E-06,3.47465E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Salisediminibacterium|s__Salisediminibacterium_beveridgei,2.0477E-06,7.4321E-06,2.31557E-06,1.70955E-06,4.50249E-06,3.17184E-06,3.2556E-06,7.83515E-06,2.91263E-06,3.3195E-06,4.96558E-06,3.32328E-06,2.23704E-06,3.17308E-06,5.07833E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Salisediminibacterium|s__Salisediminibacterium_selenitireducens,6.48438E-06,2.90821E-06,4.34169E-06,6.55329E-06,3.00166E-06,2.74893E-06,2.4417E-06,3.324E-06,3.8835E-06,4.79484E-06,4.96558E-06,2.21552E-06,6.15187E-06,3.70193E-06,3.20737E-06
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Fervidibacillus|s__Fervidibacillus_albus,1.36513E-06,5.17016E-06,2.31557E-06,2.84925E-06,4.50249E-06,2.74893E-06,3.66255E-06,3.324E-06,2.91263E-06,6.27017E-06,3.81967E-06,3.32328E-06,3.35556E-06,1.85097E-06,3.20737E-06
