#Classification,HK1-1,HK1-2,HK1-3,HK1-4,HK1-5,HK2-1,HK2-2,HK2-3,HK2-4,HK2-5,HK3-1,HK3-2,HK3-3,HK3-4,HK3-5
d__Bacteria|p__Deferribacterota|c__Deferribacteres|o__Deferribacterales|f__Geovibrionaceae|g__Denitrovibrio|s__Denitrovibrio_acetiphilus,5.11925E-06,1.09866E-05,8.68337E-06,7.69299E-06,6.75373E-06,9.93844E-06,7.3251E-06,5.46086E-06,5.82525E-06,8.11434E-06,4.58361E-06,7.20044E-06,7.27039E-06,5.5529E-06,1.06912E-05
d__Bacteria|p__Deferribacterota|c__Deferribacteres|o__Deferribacterales|f__Geovibrionaceae|g__Geovibrio|s__Geovibrio_thiophilus,5.80181E-06,3.23135E-06,4.34169E-06,4.27388E-06,2.75152E-06,3.17184E-06,5.29035E-06,3.08657E-06,2.26538E-06,4.05717E-06,9.16722E-06,0,6.71113E-06,4.4952E-06,1.3364E-06
d__Bacteria|p__Aquificota|c__Aquificae|o__Desulfurobacteriales|f__Desulfurobacteriaceae|g__Desulfurobacterium|s__Desulfurobacterium_thermolithotrophum,2.0477E-06,3.55448E-06,1.73667E-06,2.2794E-06,2.25124E-06,2.53747E-06,3.66255E-06,2.13686E-06,0,4.05717E-06,5.34754E-06,2.21552E-06,2.7963E-06,2.64424E-06,1.87096E-06
d__Bacteria|p__Aquificota|c__Aquificae|o__Desulfurobacteriales|f__Desulfurobacteriaceae|g__Thermovibrio|s__Thermovibrio_ammonificans,3.07155E-06,2.26194E-06,0,1.70955E-06,1.75097E-06,1.69165E-06,4.0695E-06,2.13686E-06,0,0,2.67377E-06,4.43104E-06,0,0,1.3364E-06
d__Bacteria|p__Aquificota|c__Aquificae|o__Aquificales|g__Thermosulfidibacter|s__Thermosulfidibacter_takaii,1.70642E-06,0,0,0,0,1.26874E-06,0,1.89943E-06,1.61813E-06,1.47533E-06,1.90984E-06,0,0,1.05769E-06,1.06912E-06
d__Bacteria|p__Aquificota|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae|g__Persephonella|s__Persephonella_marina,4.77796E-06,2.58508E-06,1.73667E-06,1.99448E-06,1.25069E-06,1.48019E-06,2.84865E-06,1.18714E-06,2.589E-06,3.3195E-06,3.43771E-06,2.21552E-06,2.23704E-06,2.64424E-06,1.3364E-06
d__Bacteria|p__Aquificota|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae|g__Sulfurihydrogenibium|s__Sulfurihydrogenibium_sp._YO3AOP1,0,4.20075E-06,2.02612E-06,3.70403E-06,3.00166E-06,2.53747E-06,2.4417E-06,2.37429E-06,1.2945E-06,3.68834E-06,4.20164E-06,2.7694E-06,2.23704E-06,1.85097E-06,1.60368E-06
d__Bacteria|p__Aquificota|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae|g__Sulfurihydrogenibium|s__Sulfurihydrogenibium_azorense,4.77796E-06,3.23135E-06,1.73667E-06,1.42463E-06,2.50138E-06,2.96039E-06,4.8834E-06,2.61172E-06,1.2945E-06,2.58183E-06,4.58361E-06,0,7.82965E-06,2.64424E-06,4.00921E-06
d__Bacteria|p__Aquificota|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Hydrogenobacter|s__Hydrogenobacter_sp._T-8,0,0,1.73667E-06,1.1397E-06,1.00055E-06,8.45825E-07,0,1.18714E-06,1.2945E-06,1.84417E-06,0,0,0,0,0
d__Bacteria|p__Aquificota|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Hydrogenobacter|s__Hydrogenobacter_thermophilus,2.73027E-06,1.93881E-06,1.73667E-06,1.42463E-06,1.00055E-06,1.48019E-06,0,1.42457E-06,2.26538E-06,0,0,0,2.23704E-06,1.85097E-06,1.06912E-06
