Classification,Water,WT,dagr,Phylum,color
Persicimonas_caeni,9.0576E-05,8.4485E-05,8.88765E-05,nosig,#EAEAEA
Dissulfurispira_thermophila,4.79433E-06,4.93492E-06,4.0626E-06,nosig,#EAEAEA
Thermodesulfovibrio_yellowstonii,3.03785E-06,2.23621E-06,2.40196E-06,nosig,#EAEAEA
Leptospirillum_ferrooxidans,2.10682E-06,3.32592E-06,3.59242E-06,nosig,#EAEAEA
Leptospirillum_ferriphilum,2.64216E-06,2.67034E-06,2.50993E-06,nosig,#EAEAEA
Candidatus_Nitrospira_allomarina,5.70023E-06,6.4755E-06,5.73591E-06,nosig,#EAEAEA
Candidatus_Nitrospira_neomarina,1.03817E-05,8.92849E-06,1.00648E-05,nosig,#EAEAEA
Nitrospira_sp__KM1,1.0868E-05,1.10714E-05,1.17521E-05,nosig,#EAEAEA
Candidatus_Nitrospira_inopinata,1.73945E-05,1.5901E-05,1.50586E-05,nosig,#EAEAEA
Nitrospira_japonica,2.13266E-05,2.03553E-05,1.87932E-05,nosig,#EAEAEA
Nitrospira_tepida,2.4781E-05,2.47907E-05,2.16342E-05,nosig,#EAEAEA
Nitrospira_moscoviensis,3.10402E-05,0.000032755,2.87655E-05,nosig,#EAEAEA
Haliovirga_abyssi,6.33637E-06,5.97355E-06,9.22835E-06,nosig,#EAEAEA
Sneathia_vaginalis,2.19075E-06,1.32876E-06,2.48253E-06,nosig,#EAEAEA
Pseudoleptotrichia_goodfellowii,3.787E-06,2.77332E-06,3.74627E-06,nosig,#EAEAEA
Sebaldella_termitidis,7.06562E-06,4.11106E-06,6.78096E-06,nosig,#EAEAEA
Leptotrichia_shahii,2.50692E-06,8.81808E-07,1.54528E-06,nosig,#EAEAEA
Leptotrichia_hofstadii,3.61601E-06,7.50118E-07,2.43502E-06,nosig,#EAEAEA
Leptotrichia_buccalis,1.75709E-06,2.58083E-06,1.14986E-06,nosig,#EAEAEA
Leptotrichia_hongkongensis,3.66306E-06,2.8588E-06,4.83039E-06,nosig,#EAEAEA
Leptotrichia_sp__oral_taxon_498,1.55277E-06,9.87516E-07,1.62417E-06,nosig,#EAEAEA
Leptotrichia_sp__oral_taxon_221,4.33012E-06,3.6483E-06,4.2107E-06,nosig,#EAEAEA
Ilyobacter_polytropus,5.46959E-06,3.78881E-06,6.25359E-06,nosig,#EAEAEA
Fusobacterium_vincentii,4.86543E-06,7.12286E-07,1.06912E-06,nosig,#EAEAEA
Fusobacterium_mortiferum,3.93966E-06,3.39833E-06,5.7405E-06,nosig,#EAEAEA
Fusobacterium_polymorphum,1.10614E-05,8.52804E-06,1.13831E-05,nosig,#EAEAEA
Fusobacterium_canifelinum,4.09907E-06,2.99E-06,5.45124E-06,nosig,#EAEAEA
Fusobacterium_sp__oral_taxon_203,2.12543E-06,2.62935E-06,3.71253E-06,nosig,#EAEAEA
Fusobacterium_hwasookii,5.98558E-06,3.1973E-06,4.10096E-06,nosig,#EAEAEA
Fusobacterium_necrophorum,5.97736E-06,4.03293E-06,6.76624E-06,nosig,#EAEAEA
