Classification,Water,WT,dagr,Phylum,color
Flavobacterium_sp__B183,0.000359991,0.000323547,0.000429831,nosig,#EAEAEA
Flavobacterium_sp__N502540,0.000379129,0.000309841,0.000414012,nosig,#EAEAEA
Flavobacterium_sp__N502536,0.000297531,0.000258306,0.00033538,nosig,#EAEAEA
Flavobacterium_sp__140616W15,0.000248077,0.000203787,0.000281036,nosig,#EAEAEA
Flavobacterium_sp__LPB0248,0.000573679,0.000519968,0.000667953,nosig,#EAEAEA
Flavobacterium_sp__N1846,9.16222E-05,5.02081E-05,0.000125554,nosig,#EAEAEA
Flavobacterium_sp__CLA17,0.000419254,0.000355338,0.000465121,nosig,#EAEAEA
Flavobacterium_sp__SLB02,0.000533904,0.000457744,0.000611033,nosig,#EAEAEA
Flavobacterium_sp__KBS0721,0.000626136,0.000556507,0.000732921,nosig,#EAEAEA
Flavobacterium_sp__N1736,0.000619275,0.000528913,0.000692138,nosig,#EAEAEA
Flavobacterium_sp__KACC_22763,0.001008969,0.000857347,0.001137203,nosig,#EAEAEA
Flavobacterium_sp__N2038,0.000772349,0.000688285,0.000911832,nosig,#EAEAEA
Flavobacterium_sp__TR2,0.001028842,0.000844,0.001157459,nosig,#EAEAEA
Flavobacterium_sp__YJ01,0.001552422,0.001319363,0.001671797,nosig,#EAEAEA
Flavobacterium_sp__CJ75,0.00156627,0.001475056,0.00174946,nosig,#EAEAEA
Flavobacterium_sp__KACC_22758,0.003318508,0.002928296,0.003821406,nosig,#EAEAEA
Thermomicrobium_roseum,1.05586E-05,1.12475E-05,1.06981E-05,nosig,#EAEAEA
Sphaerobacter_thermophilus,4.01676E-05,4.14962E-05,3.87865E-05,nosig,#EAEAEA
Chthonomonas_calidirosea,1.01357E-05,8.44107E-06,7.9266E-06,nosig,#EAEAEA
Capsulimonas_corticalis,5.47892E-05,4.98871E-05,4.99214E-05,nosig,#EAEAEA
Fimbriimonas_ginsengisoli,5.61487E-05,5.84962E-05,5.38014E-05,nosig,#EAEAEA
Thermobaculum_terrenum,8.90346E-06,7.66637E-06,6.92443E-06,nosig,#EAEAEA
Phototrophicus_methaneseepsis,1.26823E-05,1.35456E-05,1.21311E-05,nosig,#EAEAEA
Dehalococcoides_mccartyi,7.06687E-06,6.88055E-06,5.95854E-06,nosig,#EAEAEA
Dehalogenimonas_etheniformans,4.05679E-06,5.30649E-06,4.46083E-06,nosig,#EAEAEA
Dehalogenimonas_formicexedens,5.62455E-06,7.08549E-06,5.60846E-06,nosig,#EAEAEA
Caldilinea_aerophila,2.11174E-05,1.8893E-05,1.95841E-05,nosig,#EAEAEA
Anaerolinea_thermophila,6.72561E-06,6.71946E-06,7.14554E-06,nosig,#EAEAEA
Brevefilum_fermentans,7.25886E-06,5.46909E-06,6.30926E-06,nosig,#EAEAEA
Pelolinea_submarina,9.37066E-06,9.88638E-06,9.11497E-06,nosig,#EAEAEA
Thermoflexus_hugenholtzii,2.78672E-05,2.66226E-05,2.72146E-05,nosig,#EAEAEA
Ktedonosporobacter_rubrisoli,2.07774E-05,1.73614E-05,1.70085E-05,nosig,#EAEAEA
Candidatus_Promineofilum_breve,5.74863E-05,5.44143E-05,4.8567E-05,nosig,#EAEAEA
Chloroflexus_aurantiacus,9.72977E-06,1.07108E-05,8.38292E-06,nosig,#EAEAEA
Chloroflexus_aggregans,9.60016E-06,9.22079E-06,9.81222E-06,nosig,#EAEAEA
Roseiflexus_castenholzii,2.72802E-05,0.000026181,2.58454E-05,nosig,#EAEAEA
Tepidiforma_bonchosmolovskayae,3.49033E-05,3.45411E-05,2.9622E-05,nosig,#EAEAEA
Tepidiforma_flava,3.62988E-05,3.53134E-05,3.02764E-05,nosig,#EAEAEA
Xianfuyuplasma_coldseepsis,4.33003E-06,4.06335E-06,4.39656E-06,nosig,#EAEAEA
Hujiaoplasma_nucleasis,3.40437E-06,2.77235E-06,2.45577E-06,nosig,#EAEAEA
Malacoplasma_penetrans,2.46618E-06,2.05635E-06,1.47003E-06,nosig,#EAEAEA
Mycoplasmoides_pneumoniae,2.58508E-07,4.92791E-07,3.17308E-07,nosig,#EAEAEA
Mycoplasmoides_fastidiosum,1.83493E-06,9.39089E-07,1.12048E-06,nosig,#EAEAEA
Mycoplasmoides_gallisepticum,2.46958E-06,2.81821E-06,3.19952E-06,nosig,#EAEAEA
Metamycoplasma_alkalescens,5.4202E-07,2.53748E-07,2.6728E-07,nosig,#EAEAEA
Metamycoplasma_salivarium,1.44291E-06,2.84914E-07,1.05308E-06,nosig,#EAEAEA
Metamycoplasma_phocicerebrale,2.50709E-06,1.94372E-06,3.30847E-06,nosig,#EAEAEA
Metamycoplasma_canadense,1.94258E-06,2.11456E-07,7.02704E-07,nosig,#EAEAEA
Metamycoplasma_hyosynoviae,3.58777E-06,1.78867E-06,0.000003025,nosig,#EAEAEA
Metamycoplasma_arthritidis,1.19303E-05,1.00829E-05,1.77951E-05,nosig,#EAEAEA
Mariniplasma_anaerobium,3.53531E-06,2.25434E-06,2.621E-06,nosig,#EAEAEA
Haploplasma_axanthum,2.7945E-06,2.5349E-06,1.35102E-06,nosig,#EAEAEA
Alteracholeplasma_palmae,6.59713E-06,4.63185E-06,7.9961E-06,nosig,#EAEAEA
Paracholeplasma_brassicae,2.94714E-06,1.10639E-06,7.65418E-07,nosig,#EAEAEA
Acholeplasma_hippikon,2.45262E-06,1.61449E-06,2.04813E-06,nosig,#EAEAEA
Acholeplasma_laidlawii,3.1981E-06,1.44654E-06,3.18639E-06,nosig,#EAEAEA
Candidatus_Phytoplasma_mali,3.00166E-07,2.84914E-07,8.49584E-07,nosig,#EAEAEA
Candidatus_Phytoplasma_solani,1.59912E-06,4.91176E-07,3.81968E-07,nosig,#EAEAEA
Candidatus_Phytoplasma_luffae,7.5145E-07,0,8.90162E-07,nosig,#EAEAEA
Candidatus_Phytoplasma_rubi,1.28825E-05,8.37945E-06,1.27507E-05,nosig,#EAEAEA
Williamsoniiplasma_somnilux,2.09214E-06,1.17237E-06,2.07304E-06,nosig,#EAEAEA
Entomoplasma_freundtii,2.0011E-07,1.69165E-07,5.31704E-07,nosig,#EAEAEA
Mesoplasma_tabanidae,1.43527E-06,1.00766E-06,1.53894E-06,nosig,#EAEAEA
Mesoplasma_syrphidae,0.000001462,1.54592E-06,1.18405E-06,nosig,#EAEAEA
Mesoplasma_lactucae,2.31278E-06,1.69357E-06,2.44297E-06,nosig,#EAEAEA
Mesoplasma_melaleucae,2.48953E-06,1.87458E-06,1.79918E-06,nosig,#EAEAEA
Spiroplasma_syrphidicola,7.23356E-07,6.21598E-07,1.17337E-06,nosig,#EAEAEA
Spiroplasma_melliferum,1.5349E-06,5.90134E-07,2.13824E-07,nosig,#EAEAEA
Spiroplasma_poulsonii,1.70853E-06,1.29839E-06,1.88476E-06,nosig,#EAEAEA
Spiroplasma_platyhelix,1.87421E-06,9.16902E-07,1.58596E-06,nosig,#EAEAEA
Spiroplasma_eriocheiris,2.30374E-06,7.65702E-07,1.64958E-06,nosig,#EAEAEA
Spiroplasma_cantharicola,3.00935E-06,2.49114E-06,3.30401E-06,nosig,#EAEAEA
Spiroplasma_kunkelii,1.76494E-06,5.80952E-07,1.11991E-06,nosig,#EAEAEA
Spiroplasma_phoeniceum,9.94812E-07,2.84914E-07,3.70194E-07,nosig,#EAEAEA
Spiroplasma_chrysopicola,2.49219E-06,1.74283E-06,2.52175E-06,nosig,#EAEAEA
Spiroplasma_turonicum,2.20948E-06,2.6842E-06,2.77544E-06,nosig,#EAEAEA
Spiroplasma_chinense,2.42889E-06,1.91885E-06,2.68193E-06,nosig,#EAEAEA
Spiroplasma_gladiatoris,4.12413E-06,2.31019E-06,3.75955E-06,nosig,#EAEAEA
Spiroplasma_litorale,3.3682E-06,2.19435E-06,2.79567E-06,nosig,#EAEAEA
Spiroplasma_clarkii,4.07082E-06,2.17488E-06,4.19268E-06,nosig,#EAEAEA
Spiroplasma_tabanidicola,5.26545E-06,2.75588E-06,5.73019E-06,nosig,#EAEAEA
Spiroplasma_helicoides,3.71555E-06,2.68707E-06,2.39251E-06,nosig,#EAEAEA
Candidatus_Hepatoplasma_crinochetorum,0,2.84914E-07,2.13824E-07,nosig,#EAEAEA
Ureaplasma_urealyticum,1.89941E-06,5.43856E-07,1.78013E-06,nosig,#EAEAEA
Ureaplasma_diversum,2.36962E-06,2.18941E-06,2.54986E-06,nosig,#EAEAEA
Mesomycoplasma_molare,8.6758E-07,7.27942E-07,1.28204E-06,nosig,#EAEAEA
Mesomycoplasma_hyopneumoniae,1.62091E-06,3.59108E-07,5.34754E-07,nosig,#EAEAEA
Mesomycoplasma_conjunctivae,2.79746E-06,3.06141E-06,4.2112E-06,nosig,#EAEAEA
Mesomycoplasma_bovoculi,6.68048E-07,2.37428E-07,2.64424E-07,nosig,#EAEAEA
Mesomycoplasma_lagogenitalium,2.30389E-06,2.25065E-06,3.39174E-06,nosig,#EAEAEA
Mesomycoplasma_dispar,2.67393E-06,1.50274E-06,1.96772E-06,nosig,#EAEAEA
Mesomycoplasma_neurolyticum,4.1116E-06,2.43139E-06,4.81058E-06,nosig,#EAEAEA
Mesomycoplasma_ovipneumoniae,7.49692E-06,6.54193E-06,8.43754E-06,nosig,#EAEAEA
Mycoplasmopsis_anatis,8.05952E-07,1.01857E-06,8.32552E-07,nosig,#EAEAEA
Mycoplasmopsis_citelli,1.40818E-06,6.84668E-07,1.55519E-06,nosig,#EAEAEA
Mycoplasmopsis_canis,1.26679E-06,1.39545E-06,1.03651E-06,nosig,#EAEAEA
Mycoplasmopsis_edwardii,5.23164E-07,9.85243E-07,2.64424E-07,nosig,#EAEAEA
Mycoplasmopsis_fermentans,2.16642E-06,1.88051E-06,2.57609E-06,nosig,#EAEAEA
Mycoplasmopsis_gallopavonis,1.37181E-06,7.66058E-07,9.31884E-07,nosig,#EAEAEA
Mycoplasmopsis_pullorum,2.43964E-06,2.17205E-06,3.34159E-06,nosig,#EAEAEA
Mycoplasmopsis_phocirhinis,8.0078E-07,5.32494E-07,1.14967E-06,nosig,#EAEAEA
Mycoplasmopsis_pulmonis,2.56195E-06,9.07496E-07,1.5994E-06,nosig,#EAEAEA
Mycoplasmopsis_synoviae,2.37759E-06,1.79107E-06,2.74419E-06,nosig,#EAEAEA
Mycoplasmopsis_columboralis,1.76929E-06,1.17683E-06,2.16804E-06,nosig,#EAEAEA
Mycoplasmopsis_meleagridis,3.37006E-06,3.97422E-06,5.0848E-06,nosig,#EAEAEA
Mycoplasmopsis_gallinacea,3.02457E-06,2.77654E-06,3.57047E-06,nosig,#EAEAEA
Mycoplasmopsis_columbina,1.24858E-06,5.7998E-07,1.92927E-06,nosig,#EAEAEA
Mycoplasmopsis_glycophila,2.62931E-06,1.61449E-06,2.67058E-06,nosig,#EAEAEA
Mycoplasmopsis_bovirhinis,2.68568E-06,1.79433E-06,3.45891E-06,nosig,#EAEAEA
Mycoplasmopsis_bovigenitalium,3.58768E-06,3.19919E-06,5.36202E-06,nosig,#EAEAEA
Mycoplasmopsis_agalactiae,2.65078E-06,1.98484E-06,2.55801E-06,nosig,#EAEAEA
Mycoplasmopsis_equigenitalium,2.07865E-06,2.95066E-07,1.69608E-06,nosig,#EAEAEA
Mycoplasmopsis_maculosa,2.42761E-06,1.96142E-06,2.64201E-06,nosig,#EAEAEA
Mycoplasmopsis_bovis,0.000022392,1.68252E-05,2.53441E-05,nosig,#EAEAEA
Mycoplasma_sp__Ms02,0,5.37016E-07,2.11538E-07,nosig,#EAEAEA
Mycoplasma_iguanae,2.50138E-07,1.89943E-07,7.86678E-07,nosig,#EAEAEA
Mycoplasma_phocoenae,2.31556E-07,6.21598E-07,6.99276E-07,nosig,#EAEAEA
Mycoplasma_yeatsii,6.4627E-07,7.3251E-07,1.15764E-06,nosig,#EAEAEA
Mycoplasma_ovis,1.46245E-06,8.35015E-07,1.65716E-06,nosig,#EAEAEA
Mycoplasma_miroungigenitalium,1.46763E-06,1.32998E-06,1.73255E-06,nosig,#EAEAEA
Mycoplasma_sp__SG1,1.00064E-06,5.38662E-07,1.1037E-06,nosig,#EAEAEA
Mycoplasma_sp__1018B,5.87872E-07,4.01399E-07,4.47408E-07,nosig,#EAEAEA
Candidatus_Mycoplasma_haematolamae,8.96326E-07,1.16058E-06,1.67966E-06,nosig,#EAEAEA
Candidatus_Mycoplasma_mahonii,2.02268E-06,9.89905E-07,8.5793E-07,nosig,#EAEAEA
Mycoplasma_putrefaciens,1.64614E-06,1.85521E-06,2.78351E-06,nosig,#EAEAEA
Mycoplasma_nasistruthionis,1.70049E-06,1.75926E-06,1.36727E-06,nosig,#EAEAEA
Mycoplasma_cottewii,3.78069E-06,2.17332E-06,2.23292E-06,nosig,#EAEAEA
Mycoplasma_phocoeninasale,2.25037E-06,9.82708E-07,2.4218E-06,nosig,#EAEAEA
Mycoplasma_suis,1.22586E-06,6.10474E-07,1.98394E-06,nosig,#EAEAEA
Mycoplasma_tauri,1.27974E-06,0,1.24142E-06,nosig,#EAEAEA
Mycoplasma_tullyi,1.73002E-06,1.71146E-06,1.151E-06,nosig,#EAEAEA
Mycoplasma_parvum,1.86351E-06,1.36436E-06,1.88581E-06,nosig,#EAEAEA
Mycoplasma_struthionis,2.00687E-06,1.23229E-06,2.09603E-06,nosig,#EAEAEA
Mycoplasma_seminis,2.47459E-06,2.01237E-06,2.73382E-06,nosig,#EAEAEA
Mycoplasma_crocodyli,2.79455E-06,1.45955E-06,3.07694E-06,nosig,#EAEAEA
Mycoplasma_miroungirhinis,3.82019E-06,2.05291E-06,3.45504E-06,nosig,#EAEAEA
Mycoplasma_capricolum,5.53637E-06,3.03063E-06,6.75179E-06,nosig,#EAEAEA
Mycoplasma_feriruminatoris,1.01565E-05,5.1631E-06,9.42223E-06,nosig,#EAEAEA
Mycoplasma_sp__Pen4,2.50956E-06,1.74413E-06,3.12927E-06,nosig,#EAEAEA
Mycoplasma_sp__OR1901,9.05846E-07,9.8946E-07,3.17308E-07,nosig,#EAEAEA
Mycoplasma_sp__NEAQ87857,1.02887E-06,2.95066E-07,5.93506E-07,nosig,#EAEAEA
Mycoplasma_sp__2045,2.63659E-06,1.39571E-06,2.44856E-06,nosig,#EAEAEA
Mycoplasma_sp__E35C,3.52214E-06,2.27352E-06,4.40378E-06,nosig,#EAEAEA
Truepera_radiovictrix,3.06021E-05,3.00394E-05,2.98928E-05,nosig,#EAEAEA
Allomeiothermus_silvanus,1.46301E-05,1.44552E-05,1.17909E-05,nosig,#EAEAEA
Marinithermus_hydrothermalis,1.39634E-05,1.52666E-05,1.25459E-05,nosig,#EAEAEA
Oceanithermus_profundus,3.26449E-05,3.26786E-05,2.7831E-05,nosig,#EAEAEA
Meiothermus_ruber,1.32198E-05,1.5403E-05,1.33376E-05,nosig,#EAEAEA
Meiothermus_taiwanensis,2.41887E-05,2.1366E-05,2.21449E-05,nosig,#EAEAEA
Thermus_scotoductus,6.01589E-06,5.16317E-06,4.92734E-06,nosig,#EAEAEA
Thermus_parvatiensis,3.05269E-06,6.69018E-06,2.9063E-06,nosig,#EAEAEA
Thermus_antranikianii,2.46936E-06,3.09817E-06,2.22628E-06,nosig,#EAEAEA
Thermus_caldilimi,3.50644E-06,2.45328E-06,4.23833E-06,nosig,#EAEAEA
Thermus_aquaticus,7.49011E-06,7.6814E-06,6.67765E-06,nosig,#EAEAEA
Thermus_oshimai,8.53968E-06,7.55019E-06,1.0168E-05,nosig,#EAEAEA
Thermus_brockianus,6.33363E-06,6.86664E-06,6.46974E-06,nosig,#EAEAEA
Thermus_sp__PS18,4.75746E-06,3.72156E-06,5.23157E-06,nosig,#EAEAEA
Thermus_sp__NEB1569,5.50965E-06,2.85581E-06,3.69393E-06,nosig,#EAEAEA
Thermus_sp__CCB_US3_UF1,6.57604E-06,6.42697E-06,7.1824E-06,nosig,#EAEAEA
Thermus_thermophilus,3.21018E-05,3.08686E-05,3.23354E-05,nosig,#EAEAEA
Deinococcus_puniceus,1.22425E-05,1.00333E-05,1.21723E-05,nosig,#EAEAEA
Deinococcus_psychrotolerans,1.41724E-05,1.44158E-05,1.5219E-05,nosig,#EAEAEA
Deinococcus_radiophilus,1.86544E-05,1.56551E-05,1.94054E-05,nosig,#EAEAEA
Deinococcus_rubellus,1.65695E-05,1.62164E-05,1.5706E-05,nosig,#EAEAEA
Deinococcus_deserti,1.67822E-05,1.49746E-05,1.4051E-05,nosig,#EAEAEA
Deinococcus_geothermalis,8.25308E-05,7.81432E-05,8.0037E-05,nosig,#EAEAEA
Deinococcus_proteolyticus,2.11448E-05,2.19393E-05,2.00338E-05,nosig,#EAEAEA
Deinococcus_radiodurans,2.55668E-05,2.58024E-05,2.49511E-05,nosig,#EAEAEA
Deinococcus_peraridilitoris,2.19491E-05,2.13352E-05,2.05496E-05,nosig,#EAEAEA
Deinococcus_irradiatisoli,3.62127E-05,3.16807E-05,2.97584E-05,nosig,#EAEAEA
Deinococcus_wulumuqiensis,3.52497E-05,3.22226E-05,3.1162E-05,nosig,#EAEAEA
Deinococcus_maricopensis,3.64441E-05,3.57006E-05,3.59293E-05,nosig,#EAEAEA
Deinococcus_metallilatus,4.41401E-05,4.03776E-05,3.98789E-05,nosig,#EAEAEA
Deinococcus_aetherius,3.95861E-05,4.19209E-05,4.02438E-05,nosig,#EAEAEA
Deinococcus_radiopugnans,5.0571E-05,5.93847E-05,4.89996E-05,nosig,#EAEAEA
Deinococcus_taeanensis,3.67311E-05,3.10899E-05,3.40758E-05,nosig,#EAEAEA
Deinococcus_gobiensis,5.14505E-05,4.86245E-05,5.27816E-05,nosig,#EAEAEA
Deinococcus_aquaticus,6.21712E-05,5.49509E-05,5.59246E-05,nosig,#EAEAEA
Deinococcus_sp__QL22,1.77693E-05,1.79414E-05,1.67874E-05,nosig,#EAEAEA
Deinococcus_sp__AJ005,2.50133E-05,2.60673E-05,2.38005E-05,nosig,#EAEAEA
Deinococcus_sp__KNUC1210,2.34005E-05,2.27557E-05,2.42578E-05,nosig,#EAEAEA
Deinococcus_ficus,0.000106932,9.70542E-05,0.000106874,nosig,#EAEAEA
Deinococcus_actinosclerus,0.000265313,0.000228058,0.000263875,nosig,#EAEAEA
cyanobacterium_endosymbiont_of_Epithemia_turgida,4.70498E-06,3.89934E-06,6.55871E-06,nosig,#EAEAEA
Thermostichus_lividus,3.17995E-06,3.28038E-06,2.82065E-06,nosig,#EAEAEA
Chroococcidiopsis_sp__CCNUC1,6.45185E-06,6.25482E-06,4.01805E-06,nosig,#EAEAEA
Chroococcidiopsis_sp__CCMEE_29,1.11476E-05,8.43946E-06,8.94154E-06,nosig,#EAEAEA
Anthocerotibacter_panamensis,5.53757E-06,5.8773E-06,6.42725E-06,nosig,#EAEAEA
Gloeobacter_violaceus,2.92603E-05,2.8821E-05,2.49579E-05,nosig,#EAEAEA
Gloeobacter_morelensis,3.10346E-05,2.45633E-05,2.96618E-05,nosig,#EAEAEA
Gloeobacter_kilaueensis,2.67312E-05,2.35695E-05,2.52899E-05,nosig,#EAEAEA
Pleurocapsa_sp__PCC_7327,7.67842E-06,5.38799E-06,5.98808E-06,nosig,#EAEAEA
Thermosynechococcus_sp__NK55a,2.41561E-06,1.84717E-06,1.56593E-06,nosig,#EAEAEA
Thermosynechococcus_vestitus,4.38795E-06,6.29717E-06,5.10071E-06,nosig,#EAEAEA
Thermosynechococcus_sp_,4.93456E-06,5.23987E-06,4.79569E-06,nosig,#EAEAEA
Thermocoleostomius_sinensis,1.10378E-05,8.00235E-06,8.26347E-06,nosig,#EAEAEA
Pseudanabaena_mucicola,6.20712E-06,3.31786E-06,5.1972E-06,nosig,#EAEAEA
Pseudanabaena_sp__Chao_1811,5.31306E-06,4.26019E-06,6.15565E-06,nosig,#EAEAEA
Pseudanabaena_sp__PCC_7367,1.61343E-05,1.0777E-05,1.41294E-05,nosig,#EAEAEA
Leptothermofonsia_sichuanensis,9.25443E-06,1.26516E-05,8.04346E-06,nosig,#EAEAEA
Leptodesmis_sichuanensis,1.09796E-05,1.15354E-05,1.00257E-05,nosig,#EAEAEA
Kovacikia_minuta,1.4018E-05,1.44789E-05,1.73226E-05,nosig,#EAEAEA
Leptolyngbya_sp__PCC_7376,7.7526E-06,6.34692E-06,7.4082E-06,nosig,#EAEAEA
Leptolyngbya_sp__BL0902,1.42431E-05,1.29298E-05,1.31823E-05,nosig,#EAEAEA
Leptolyngbya_sp__7M,2.79854E-05,2.80414E-05,2.43907E-05,nosig,#EAEAEA
Tolypothrix_tenuis,1.29914E-05,9.20721E-06,1.42743E-05,nosig,#EAEAEA
Tolypothrix_sp__PCC_7910,1.35814E-05,1.17518E-05,1.41205E-05,nosig,#EAEAEA
Brasilonema_sennae,7.8477E-06,5.62546E-06,7.97886E-06,nosig,#EAEAEA
Calothrix_brevissima,1.63004E-05,1.69232E-05,2.08904E-05,nosig,#EAEAEA
Calothrix_sp__PCC_7507,9.76717E-06,8.096E-06,9.14048E-06,nosig,#EAEAEA
Anabaenopsis_elenkinii,3.18875E-06,2.10724E-06,3.70491E-06,nosig,#EAEAEA
Anabaenopsis_circularis,1.14299E-05,7.67907E-06,1.0111E-05,nosig,#EAEAEA
Sphaerospermopsis_kisseleviana,1.2599E-05,6.89604E-06,1.01146E-05,nosig,#EAEAEA
Nodularia_sphaerocarpa,8.00662E-06,6.54657E-06,7.53027E-06,nosig,#EAEAEA
Nodularia_spumigena,7.35958E-06,6.2838E-06,7.53519E-06,nosig,#EAEAEA
Cylindrospermopsis_curvispora,2.73682E-06,4.57766E-06,2.13824E-06,nosig,#EAEAEA
Cylindrospermopsis_raciborskii,1.91521E-05,2.98456E-06,9.64259E-06,nosig,#EAEAEA
Dolichospermum_heterosporum,1.03091E-05,1.16625E-05,1.82589E-05,nosig,#EAEAEA
Dolichospermum_compactum,6.38264E-06,4.65158E-06,7.93494E-06,nosig,#EAEAEA
Dolichospermum_sp__UHCC_0315A,1.91202E-05,1.05821E-05,1.90767E-05,nosig,#EAEAEA
Richelia_sinica,0.000005998,4.523E-06,5.27968E-06,nosig,#EAEAEA
Trichormus_azollae,6.62775E-06,5.88069E-06,7.54339E-06,nosig,#EAEAEA
Cylindrospermum_stagnale,6.94503E-06,7.43331E-06,7.65715E-06,nosig,#EAEAEA
Halotia_branconii,1.02643E-05,7.08624E-06,8.59439E-06,nosig,#EAEAEA
Anabaena_cylindrica,1.02327E-05,1.18616E-05,1.02189E-05,nosig,#EAEAEA
Anabaena_sp__90,1.7521E-05,1.372E-05,2.0174E-05,nosig,#EAEAEA
Anabaena_sp__WA102,1.64973E-05,1.59233E-05,1.75923E-05,nosig,#EAEAEA
Nostoc_commune,9.686E-06,8.24707E-06,1.14773E-05,nosig,#EAEAEA
Nostoc_piscinale,1.08393E-05,9.66779E-06,9.39108E-06,nosig,#EAEAEA
Nostoc_edaphicum,7.36452E-06,8.45978E-06,8.23009E-06,nosig,#EAEAEA
Nostoc_flagelliforme,1.23771E-05,1.0462E-05,1.01083E-05,nosig,#EAEAEA
Nostoc_linckia,1.16446E-05,9.29257E-06,1.07528E-05,nosig,#EAEAEA
Nostoc_sphaeroides,1.54521E-05,1.30439E-05,1.85106E-05,nosig,#EAEAEA
Nostoc_sp__C052,7.81819E-06,7.1855E-06,8.83579E-06,nosig,#EAEAEA
Nostoc_sp__PCC_7524,7.80065E-06,5.41372E-06,6.04506E-06,nosig,#EAEAEA
Nostoc_sp__UHCC_0870,1.24465E-05,1.42036E-05,1.20871E-05,nosig,#EAEAEA
Nostoc_sp__UHCC_0926,6.89514E-06,5.56036E-06,5.95714E-06,nosig,#EAEAEA
Nostoc_sp__PCC_7107,8.64997E-06,7.79643E-06,8.90235E-06,nosig,#EAEAEA
Nostoc_sp__MS1,1.17239E-05,8.18402E-06,8.82483E-06,nosig,#EAEAEA
Nostoc_sp__CENA543,1.00841E-05,9.10242E-06,1.11343E-05,nosig,#EAEAEA
Cyanobacterium_aponinum,1.12414E-05,9.40564E-06,1.40509E-05,nosig,#EAEAEA
Microcystis_panniformis,1.83786E-06,2.83842E-06,4.50391E-06,nosig,#EAEAEA
Microcystis_sp__MC19,3.85148E-06,2.36469E-06,6.00344E-06,nosig,#EAEAEA
Geminocystis_herdmanii,6.39225E-06,6.47509E-06,7.52828E-06,nosig,#EAEAEA
Halothece_sp__PCC_7418,3.44516E-06,3.38901E-06,5.02046E-06,nosig,#EAEAEA
Gloeothece_citriformis,1.28479E-05,9.23657E-06,1.44868E-05,nosig,#EAEAEA
Allocoleopsis_franciscana,8.27616E-06,7.72775E-06,9.61061E-06,nosig,#EAEAEA
Geitlerinema_sp__PCC_7407,2.41913E-05,2.44895E-05,2.58861E-05,nosig,#EAEAEA
Phormidium_yuhuli,6.82525E-06,4.71219E-06,8.23593E-06,nosig,#EAEAEA
Oscillatoria_acuminata,6.89775E-06,7.40397E-06,7.95653E-06,nosig,#EAEAEA
Moorena_producens,3.2046E-05,2.58336E-05,4.52082E-05,nosig,#EAEAEA
Planktothrix_rubescens,1.27356E-06,8.54744E-07,1.2223E-06,nosig,#EAEAEA
Planktothrix_pseudagardhii,3.83169E-06,6.648E-07,1.84083E-06,nosig,#EAEAEA
Planktothrix_tepida,1.24005E-05,9.9278E-06,1.05468E-05,nosig,#EAEAEA
Synechocystis_sp__CACIAM_05,5.46568E-06,4.48345E-06,6.45813E-06,nosig,#EAEAEA
Synechocystis_sp__PCC_6714,4.83563E-06,6.33116E-06,5.17087E-06,nosig,#EAEAEA
Acaryochloris_sp__CCMEE_5410,0,0,4.25362E-07,nosig,#EAEAEA
Acaryochloris_marina,1.12689E-05,1.1597E-05,1.41098E-05,nosig,#EAEAEA
Trichocoleus_desertorum,1.06196E-05,8.86611E-06,6.90458E-06,nosig,#EAEAEA
Trichothermofontia_sichuanensis,1.0769E-05,0.000010302,1.42275E-05,nosig,#EAEAEA
Parasynechococcus_marenigrum,5.62967E-06,6.5665E-06,1.00425E-05,nosig,#EAEAEA
Cyanobium_gracile,3.17512E-05,2.74131E-05,2.69176E-05,nosig,#EAEAEA
Cyanobium_sp__NS01,2.32464E-05,1.98968E-05,2.3823E-05,nosig,#EAEAEA
Prochlorococcus_sp__MIT_0604,2.03107E-05,9.43872E-06,1.44011E-05,nosig,#EAEAEA
Synechococcus_sp__PCC_11901,0,7.1895E-07,2.43708E-06,nosig,#EAEAEA
Synechococcus_sp__TAK9802,1.64481E-06,1.02984E-06,0,nosig,#EAEAEA
Synechococcus_sp__WH_8109,1.66879E-06,1.78819E-06,1.05308E-06,nosig,#EAEAEA
Synechococcus_sp__CBW1006,9.53677E-06,1.40911E-05,1.80322E-05,nosig,#EAEAEA
Synechococcus_sp__PCC_7117,2.0257E-06,2.32618E-06,8.9904E-07,nosig,#EAEAEA
Synechococcus_elongatus,1.43018E-05,1.18768E-05,1.30997E-05,nosig,#EAEAEA
Synechococcus_sp__WH_8020,2.16563E-06,1.96251E-06,1.7838E-06,nosig,#EAEAEA
Synechococcus_sp__SYN20,1.45719E-06,6.648E-07,1.06284E-06,nosig,#EAEAEA
Synechococcus_sp__RS9907,4.89662E-06,4.3575E-06,2.13311E-06,nosig,#EAEAEA
Synechococcus_sp__RS9902,4.21358E-06,2.31495E-06,2.90482E-06,nosig,#EAEAEA
Synechococcus_sp__PCC_6312,2.96562E-06,2.74245E-06,3.72964E-06,nosig,#EAEAEA
Synechococcus_sp__MEDNS5,3.25103E-06,3.17042E-06,3.98483E-06,nosig,#EAEAEA
Synechococcus_sp__CC9605,3.41633E-06,2.39392E-06,2.62294E-06,nosig,#EAEAEA
Synechococcus_sp__CBW1002,1.63905E-05,1.39171E-05,1.76798E-05,nosig,#EAEAEA
Synechococcus_sp__CC9902,1.9178E-06,2.19277E-06,2.1032E-06,nosig,#EAEAEA
